ticker,close,atr,volatility_%,scanner_score,ai_score,market_regime,signal,rsi,adx,macd,macd_hist,volume_ratio
TIT.MI,0.7,0.0144,2.07,201.43,115,BULL,BUY,69.05,31.05,0.017,0.0024,1.33
BMED.MI,19.22,0.4288,2.23,190.85,115,BULL,BUY,62.76,30.07,0.4549,0.0234,0.93
TEN.MI,27.16,0.7632,2.81,185.72,110,BULL,BUY,60.53,22.76,0.4119,-0.0908,0.99
REC.MI,51.8,1.0486,2.02,182.97,115,BULL,BUY,68.06,23.59,0.505,0.0488,2.53
UNI.MI,22.28,0.4649,2.09,181.86,110,BULL,BUY,57.41,19.9,0.3383,-0.0706,1.42
BAMI.MI,13.19,0.3435,2.6,179.67,110,BULL,BUY,68.61,19.81,0.2943,0.055,0.74
G.MI,38.88,0.7349,1.89,177.85,105,BULL,BUY,62.81,29.84,0.8613,-0.008,0.75
SOL.MI,59.2,1.6937,2.86,176.81,105,BULL,BUY,58.89,12.62,0.4954,-0.1777,1.41
SFER.MI,7.76,0.3847,4.95,173.66,110,BULL,BUY,51.31,22.25,0.221,-0.0078,0.88
ISP.MI,5.71,0.146,2.55,173.09,110,BULL,BUY,50.74,18.44,0.0736,-0.0129,1.37
FBK.MI,21.43,0.5427,2.53,170.68,110,BULL,BUY,54.43,18.41,0.3128,-0.0451,0.85
ENI.MI,23.57,0.6957,2.95,170.3,100,BULL,BUY,53.96,17.34,0.1643,-0.0397,0.67
BPE.MI,12.49,0.3578,2.87,169.03,105,BULL,BUY,54.37,13.73,0.2071,-0.0353,0.82
UCG.MI,71.16,2.1224,2.98,168.65,105,BULL,BUY,62.13,17.41,1.5393,0.4701,0.67
AZM.MI,35.85,0.9494,2.65,163.23,105,BULL,BUY,51.19,16.47,0.2673,-0.2085,0.86
ERG.MI,22.88,0.6231,2.72,162.78,105,BULL,BUY,54.12,8.7,0.2137,0.0678,0.75
PRY.MI,154.7,6.2229,4.02,162.47,95,BULL,SELL,75.55,41.55,11.3455,2.0996,0.96
ENEL.MI,9.74,0.2153,2.21,155.72,100,BULL,BUY,50.48,15.55,0.0271,-0.0162,0.56
MB.MI,20.68,0.6135,2.97,146.81,85,BULL,HOLD,70.81,40.78,0.81,-0.0161,0.71
PST.MI,24.01,0.4836,2.01,142.96,95,BULL,HOLD,70.42,31.73,0.5931,0.173,0.81
IG.MI,10.3,0.2134,2.07,126.43,90,BULL,HOLD,49.53,8.55,0.0095,0.0016,0.94
NEXI.MI,3.81,0.1627,4.27,126.37,80,SIDEWAYS,HOLD,51.17,36.68,0.1661,-0.0329,1.19
SRG.MI,6.4,0.1213,1.9,125.58,90,BULL,HOLD,40.41,20.29,-0.0298,-0.0366,0.82
TRN.MI,9.92,0.1887,1.9,120.36,85,BULL,HOLD,44.51,10.46,-0.0012,-0.0401,0.83
TIP.MI,8.54,0.177,2.07,88.44,80,SIDEWAYS,SELL,53.39,22.31,0.085,0.0136,0.8
MARR.MI,8.36,0.2317,2.77,86.65,70,SIDEWAYS,HOLD,50.75,14.5,0.0702,-0.0344,0.62
ZV.MI,7.01,0.2178,3.11,53.49,55,BEAR,SELL,52.6,23.22,0.0471,0.0237,1.1
AMP.MI,10.68,0.4108,3.85,34.98,50,BEAR,SELL,59.51,25.0,0.266,0.1341,0.37
DIA.MI,70.54,2.5544,3.62,31.55,35,BEAR,SELL,70.57,28.56,1.2457,1.2311,1.4
HER.MI,3.86,0.0798,2.07,27.15,30,BEAR,SELL,36.17,22.26,-0.0596,-0.0201,1.79
A2A.MI,2.31,0.0516,2.23,24.8,30,BEAR,SELL,39.3,18.68,-0.0271,-0.0081,0.96
MONC.MI,50.8,1.7708,3.49,17.96,25,BEAR,SELL,41.05,12.81,-0.5266,-0.367,1.24
CPR.MI,5.33,0.1896,3.55,15.8,30,BEAR,SELL,28.67,22.64,-0.1973,-0.1191,1.19
RACE.MI,283.15,8.9563,3.16,13.64,30,BEAR,SELL,42.87,22.7,-3.4703,-1.8101,0.94
LDO.MI,49.84,2.1942,4.4,8.3,30,BEAR,SELL,34.04,23.1,-1.7412,-0.269,1.02
STLAM.MI,6.47,0.2796,4.32,5.26,25,BEAR,SELL,48.05,17.92,-0.065,-0.0512,0.89
IP.MI,35.82,1.0914,3.05,-1.26,20,BEAR,SELL,48.26,15.59,-0.0755,-0.0663,0.49
DOV.MI,2.11,0.1006,4.77,-1.37,20,BEAR,SELL,43.04,14.74,-0.031,-0.0219,0.79
BFF.MI,2.26,0.2147,9.51,-117.5,35,BEAR,SELL,51.44,21.72,-0.0757,0.0718,0.88
